客戶;款式;線寬度;線間距;後片上領遮;右前門襟遮;左前門襟遮;右袖上領遮;左袖上領遮
預設;通用;3.2;50;Y;Y;Y;Y;Y
野球;中興水保;3;49.453;Y;Y;Y;Y;Y
杰優;測試1;3.5;35;N;N;N;N;N
宏川;1;0.3;26.528;N;N;N;N;N
宏川;2;0.5;24;;N;N;N;N
宏川;3;0.8;24;;N;N;N;N
宏川;4;0.3;26.528;;N;N;N;N
宏川;5;0.5;25;;N;N;N;N
宏川;6;0.8;25;;N;N;N;N
宏川;7;0.3;26.528;;N;N;N;N
宏川;8;0.5;28;;N;N;N;N
宏川;9;0.8;28;;N;N;N;N
宏川;10;0.3;26.528;;N;N;N;N
宏川;11;0.5;30;;N;N;N;N
宏川;12;0.8;30;;N;N;N;N
宏川;13;3;31.4;;N;N;N;N
