衣服類型;尺寸;路徑;空白樣版 ;訂單根位置;裁片轉向;排版檔案;排版位置;排版名稱
棒球衣2扣;10;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/整版;10整版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/9月/19/至育星;;;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0517-棒球衣(2扣)/排版;2扣
2024杰優-Q0419A-新圓領T;4;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;4-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-14-新圓領衫.csv;14-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;6;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;6-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-14-新圓領衫.csv;14-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;8;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;8-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-14-新圓領衫.csv;14-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;10;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;10-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-14-新圓領衫.csv;14-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;12;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;12-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-14-新圓領衫.csv;14-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;14;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;14-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-14-新圓領衫.csv;14-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;XS;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;XS-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-XS-新圓領衫.csv;XS-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;S;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;S-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-S-新圓領衫.csv;S-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;M;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;M-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-M-新圓領衫.csv;M-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;L-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-L-新圓領衫.csv;L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;XL;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;XL-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-XL-新圓領衫.csv;XL-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;2L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;2XL-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-2L-新圓領衫.csv;2L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;3L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;3XL-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-3L-新圓領衫.csv;3L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;4L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;4XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-4L-新圓領衫.csv;4L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
2024杰優-Q0419A-新圓領T;5L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;5XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-5L-新圓領衫.csv;5L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;新圓領衫
POLO衫;XS;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;XS.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;S;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;S.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;M;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;M.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;L;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;L.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;XL;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;XL.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;2L;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;2XL.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;3L;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;3XL.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;4L;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;4XL.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
POLO衫;5L;H:/杰優、裕豐工廠產品/創作/版型/POLO衫版型/整版;5XL.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出/POLO套量衣;;;;POLO
T恤袋;L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/裁片;L-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-L-新圓領衫.csv;L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T/排版;T恤袋
